training_size,macro_f1_mean,macro_f1_std,micro_f1_mean,micro_f1_std,training_time_mean,training_time_std,epochs_mean
250,0.7338468263241986,0.020938673494317758,0.7929734667363618,0.005302520708175165,2318.925415013,488.01958776347414,24.0
500,0.8234325642818239,0.009846250747318716,0.8527051195609195,0.002284037180708023,4243.549181735,605.0025250938139,24.666666666666668
750,0.8504378480523128,0.0068778992644128205,0.8714048552680301,0.006436474535363433,5811.766763311666,1057.9612764339545,22.333333333333332
1000,0.8627972463758824,0.005127358928463867,0.8808972948479014,0.004480071082067854,6671.117860792667,470.32627126764305,22.333333333333332
