training_size,macro_f1_mean,macro_f1_std,micro_f1_mean,micro_f1_std,training_time_mean,training_time_std,epochs_mean
250,0.6603530580309172,0.004050551504503643,0.7360697016277823,0.004624368776201726,2659.7481277389998,298.7701496061333,23.0
500,0.7274198169284104,0.011796052209250688,0.7917899495381105,0.008706374573987869,3515.1123925119996,418.037229728061,18.0
750,0.7621070739951229,0.008989530794439766,0.8188495125561901,0.0037341830219902823,4901.921169710667,446.07510042419375,18.333333333333332
1000,0.8013864738242034,0.014450721701911877,0.8407832300121303,0.008273903373725295,6625.482834532668,223.5487052167922,19.666666666666668
