training_size,macro_f1_mean,macro_f1_std,micro_f1_mean,micro_f1_std,training_time_mean,training_time_std,epochs_mean
500,0.16139545574853362,0.009774565487789377,0.5035211686700977,0.007107898370895873,1645.9530533073332,109.67142968669924,30.0
1000,0.30422056340683845,0.007814512560017172,0.59077354708692,0.007017561496409439,1982.4764758490003,103.47053435754133,29.333333333333332
2500,0.42395720498324696,0.007027874858411275,0.6496747392811737,0.0040403156738902215,2533.8546406010005,320.08627623414986,28.0
5000,0.470774806720387,0.010243463543770497,0.6702099838300555,0.007069082522789804,2988.4305684623337,749.2272816528575,25.666666666666668
10000,0.520721029766203,0.004509292077841825,0.6887884876804516,0.006036198810120044,3729.3754492616663,1129.8157201916542,22.333333333333332
