model,dataset,method,seed,learning_rate,batch_size,num_train_epochs,best_checkpoint,best_metric,actual_epochs_trained,train_time_sec,val_eval_time_sec,training_peak_vram_gb,trainable_params,total_params,val_f1_macro,val_f1_micro,total_measured_time_sec
distilbert-base-uncased,AAPD,pfeiffer,0,0.0005,16,10,/content/drive/MyDrive/thesis_results/AAPD_DistilBERT_Pfeiffer/search/lr_0.0005_bs_16/checkpoint-33650,0.5919448896977693,10.0,5679.733455281001,4.778516624000986,,1522038,67884918,0.5919448896977693,0.7553285968028419,5684.511971905002
distilbert-base-uncased,AAPD,pfeiffer,0,0.0005,8,10,/content/drive/MyDrive/thesis_results/AAPD_DistilBERT_Pfeiffer/search/lr_0.0005_bs_8/checkpoint-60570,0.5820509364505624,10.0,3562.5750381830003,5.291852202999507,,1522038,67884918,0.5820509364505624,0.7437722419928826,3567.866890386
distilbert-base-uncased,AAPD,pfeiffer,0,0.0002,16,10,/content/drive/MyDrive/thesis_results/AAPD_DistilBERT_Pfeiffer/search/lr_0.0002_bs_16/checkpoint-33650,0.5772609934232084,10.0,5799.617584099,5.151372643998911,,1522038,67884918,0.5772609934232084,0.7508470747684662,5804.768956742999
distilbert-base-uncased,AAPD,pfeiffer,0,0.0002,8,10,/content/drive/MyDrive/thesis_results/AAPD_DistilBERT_Pfeiffer/search/lr_0.0002_bs_8/checkpoint-33650,0.5705190664802043,8.0,4727.215722629,5.242617062998761,,1522038,67884918,0.5705190664802043,0.7485805132863956,4732.458339691999
distilbert-base-uncased,AAPD,pfeiffer,0,0.0001,8,10,/content/drive/MyDrive/thesis_results/AAPD_DistilBERT_Pfeiffer/search/lr_0.0001_bs_8/checkpoint-67300,0.5556697915616845,10.0,5907.462285057999,5.094197338999948,,1522038,67884918,0.5556697915616845,0.74,5912.556482396999
distilbert-base-uncased,AAPD,pfeiffer,0,0.0001,16,10,/content/drive/MyDrive/thesis_results/AAPD_DistilBERT_Pfeiffer/search/lr_0.0001_bs_16/checkpoint-33650,0.552666022759341,10.0,5827.362294222001,5.116370215000643,,1522038,67884918,0.552666022759341,0.743801652892562,5832.4786644370015
