model,dataset,method,seed,learning_rate,micro_batch_size,gradient_accumulation_steps,effective_batch_size,num_train_epochs,best_checkpoint,best_metric,actual_epochs_trained,train_time_sec,current_session_train_time_sec,val_eval_time_sec,training_peak_vram_gb,trainable_params,total_params,val_f1_macro,val_f1_micro,total_measured_time_sec
answerdotai/ModernBERT-base,Scot-BESS,pfeiffer,0,0.0005,4,2,8,4,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_ModernBERT_Pfeiffer/search/lr_0.0005_efbs_8/checkpoint-672,0.8206595705004623,4.0,1766.5593427819995,1766.5593427819995,13.912243731001581,,3869012,152933972,0.8206595705004623,0.8572854291417166,1780.471586513001
answerdotai/ModernBERT-base,Scot-BESS,pfeiffer,0,0.0005,4,4,16,4,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_ModernBERT_Pfeiffer/search/lr_0.0005_efbs_16/checkpoint-336,0.7995342565560226,4.0,1762.9310292770006,1762.9310292770006,13.69071523599996,,3869012,152933972,0.7995342565560226,0.8439538384345209,1776.6217445130005
answerdotai/ModernBERT-base,Scot-BESS,pfeiffer,0,0.0002,4,2,8,4,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_ModernBERT_Pfeiffer/search/lr_0.0002_efbs_8/checkpoint-672,0.7516397222589164,4.0,1721.039873093,1721.039873093,13.358024319000833,,3869012,152933972,0.7516397222589164,0.8168870803662258,1734.397897412001
answerdotai/ModernBERT-base,Scot-BESS,pfeiffer,0,0.0002,4,4,16,4,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_ModernBERT_Pfeiffer/search/lr_0.0002_efbs_16/checkpoint-336,0.6901620061895732,4.0,1766.6556372450004,1766.6556372450004,13.74714707199928,,3869012,152933972,0.6901620061895732,0.7841543930929405,1780.4027843169997
answerdotai/ModernBERT-base,Scot-BESS,pfeiffer,0,0.0001,4,2,8,4,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_ModernBERT_Pfeiffer/search/lr_0.0001_efbs_8/checkpoint-672,0.6641443512546321,4.0,1821.154553377,1821.154553377,13.529700776000027,,3869012,152933972,0.6641443512546321,0.7613168724279835,1834.684254153
answerdotai/ModernBERT-base,Scot-BESS,pfeiffer,0,0.0001,4,4,16,4,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_ModernBERT_Pfeiffer/search/lr_0.0001_efbs_16/checkpoint-336,0.6188404535914032,4.0,1729.5101528999999,1729.5101528999999,13.726467746999788,,3869012,152933972,0.6188404535914032,0.7187008905185961,1743.2366206469997
