model,dataset,method,seed,learning_rate,batch_size,num_train_epochs,best_checkpoint,best_metric,actual_epochs_trained,train_time_sec,val_eval_time_sec,training_peak_vram_gb,trainable_params,total_params,val_f1_macro,val_f1_micro,total_measured_time_sec
distilbert-base-uncased,Scot-BESS,houlsby,0,0.0005,8,10,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_DistilBERT_Houlsby/search/lr_0.0005_bs_8/checkpoint-1512,0.7531654284054219,10.0,158.51097115700009,0.7974808999999823,,2385812,68748692,0.7531654284054219,0.8112531969309463,159.30845205700007
distilbert-base-uncased,Scot-BESS,houlsby,0,0.0005,16,10,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_DistilBERT_Houlsby/search/lr_0.0005_bs_16/checkpoint-756,0.7305354173771842,10.0,153.57960526899979,0.7776956610000525,,2385812,68748692,0.7305354173771842,0.7959390862944162,154.35730092999984
distilbert-base-uncased,Scot-BESS,houlsby,0,0.0002,8,10,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_DistilBERT_Houlsby/search/lr_0.0002_bs_8/checkpoint-1512,0.7154129350475508,10.0,158.45309178599996,0.8123492160000296,,2385812,68748692,0.7154129350475508,0.7928388746803069,159.265441002
distilbert-base-uncased,Scot-BESS,houlsby,0,0.0002,16,10,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_DistilBERT_Houlsby/search/lr_0.0002_bs_16/checkpoint-756,0.6883293151536675,10.0,153.015219065,0.7942558489999101,,2385812,68748692,0.6883293151536675,0.7762416794674859,153.8094749139999
distilbert-base-uncased,Scot-BESS,houlsby,0,0.0001,8,10,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_DistilBERT_Houlsby/search/lr_0.0001_bs_8/checkpoint-1512,0.6594320050418279,10.0,192.82783577299995,0.8091796109999905,,2385812,68748692,0.6594320050418279,0.763199163617355,193.63701538399994
distilbert-base-uncased,Scot-BESS,houlsby,0,0.0001,16,10,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_DistilBERT_Houlsby/search/lr_0.0001_bs_16/checkpoint-840,0.5960309153356935,10.0,156.084243282,0.8610130109999545,,2385812,68748692,0.5960309153356935,0.7237687366167024,156.94525629299994
