model,dataset,method,seed,learning_rate,batch_size,num_train_epochs,best_checkpoint,best_metric,actual_epochs_trained,train_time_sec,val_eval_time_sec,training_peak_vram_gb,trainable_params,total_params,val_f1_macro,val_f1_micro,total_measured_time_sec
answerdotai/ModernBERT-base,AAPD,lora,0,0.0005,8,4,/content/drive/MyDrive/thesis_results/AAPD_ModernBERT_LoRa/search/lr_0.0005_bs_8/checkpoint-26920,0.5934581222168666,4.0,11697.166748969,21.960992587002693,,2321718,151968108,0.5934581222168666,0.753072625698324,11719.127741556002
answerdotai/ModernBERT-base,AAPD,lora,0,0.0005,16,4,/content/drive/MyDrive/thesis_results/AAPD_ModernBERT_LoRa/search/lr_0.0005_bs_16/checkpoint-13460,0.5854859753598671,4.0,11444.3278555,21.97579174699968,,2321718,151968108,0.5854859753598671,0.7524130190796857,11466.303647247
answerdotai/ModernBERT-base,AAPD,lora,0,0.0003,8,4,/content/drive/MyDrive/thesis_results/AAPD_ModernBERT_LoRa/search/lr_0.0003_bs_8/checkpoint-26920,0.5771095592086027,4.0,11866.3451671,22.274906110997108,,2321718,151968108,0.5771095592086027,0.7551158084101641,11888.620073210996
answerdotai/ModernBERT-base,AAPD,lora,0,0.0003,16,4,/content/drive/MyDrive/thesis_results/AAPD_ModernBERT_LoRa/search/lr_0.0003_bs_16/checkpoint-13460,0.5617098914925598,4.0,11120.8786671,21.04349962299966,,2321718,151968108,0.5617098914925598,0.7475529251081265,11141.922166723
answerdotai/ModernBERT-base,AAPD,lora,0,0.0001,8,4,/content/drive/MyDrive/thesis_results/AAPD_ModernBERT_LoRa/search/lr_0.0001_bs_8/checkpoint-26920,0.5404492518917211,4.0,2979.143690805,22.225250481999865,,2321718,151968108,0.5404492518917211,0.739240506329114,3001.368941287
answerdotai/ModernBERT-base,AAPD,lora,0,0.0001,16,4,/content/drive/MyDrive/thesis_results/AAPD_ModernBERT_LoRa/search/lr_0.0001_bs_16/checkpoint-13460,0.5173749912568077,4.0,11267.460103506,21.618173418999504,,2321718,151968108,0.5173749912568077,0.7241781301002564,11289.078276924998
