model,dataset,method,seed,learning_rate,batch_size,num_train_epochs,best_checkpoint,best_metric,actual_epochs_trained,train_time_sec,val_eval_time_sec,training_peak_vram_gb,trainable_params,total_params,val_f1_macro,val_f1_micro,total_measured_time_sec
answerdotai/ModernBERT-base,AAPD,pfeiffer,0,0.0005,16,4,/content/drive/MyDrive/thesis_results/AAPD_ModernBERT_Pfeiffer/search/lr_0.0005_bs_16/checkpoint-13460,0.5821265228921688,4.0,7676.210257757999,16.77219779599909,,3895158,152960118,0.5821265228921688,0.7589107814921408,7692.982455553998
answerdotai/ModernBERT-base,AAPD,pfeiffer,0,0.0002,8,4,/content/drive/MyDrive/thesis_results/AAPD_ModernBERT_Pfeiffer/search/lr_0.0002_bs_8/checkpoint-26920,0.5777563232805629,4.0,7759.690468428002,16.262188757998956,,3895158,152960118,0.5777563232805629,0.7528415422331179,7775.952657186001
answerdotai/ModernBERT-base,AAPD,pfeiffer,0,0.0005,8,4,/content/drive/MyDrive/thesis_results/AAPD_ModernBERT_Pfeiffer/search/lr_0.0005_bs_8/checkpoint-26920,0.566136092194592,4.0,8031.262305321,15.796020555000725,,3895158,152960118,0.566136092194592,0.7530947557956336,8047.058325876001
answerdotai/ModernBERT-base,AAPD,pfeiffer,0,0.0002,16,4,/content/drive/MyDrive/thesis_results/AAPD_ModernBERT_Pfeiffer/search/lr_0.0002_bs_16/checkpoint-13460,0.5585470763941565,4.0,3897.174820518,15.530212786000448,,3895158,152960118,0.5585470763941565,0.748133061778683,3912.705033304
answerdotai/ModernBERT-base,AAPD,pfeiffer,0,0.0001,8,4,/content/drive/MyDrive/thesis_results/AAPD_ModernBERT_Pfeiffer/search/lr_0.0001_bs_8/checkpoint-26920,0.5543070041253138,4.0,7775.684814321999,15.171576912000091,,3895158,152960118,0.5543070041253138,0.7464049303811915,7790.856391234
answerdotai/ModernBERT-base,AAPD,pfeiffer,0,0.0001,16,4,/content/drive/MyDrive/thesis_results/AAPD_ModernBERT_Pfeiffer/search/lr_0.0001_bs_16/checkpoint-13460,0.5376334243488864,4.0,7349.166327571999,14.706669772000168,,3895158,152960118,0.5376334243488864,0.7368421052631579,7363.872997343999
