model,dataset,method,seed,learning_rate,batch_size,num_train_epochs,best_checkpoint,best_metric,actual_epochs_trained,train_time_sec,val_eval_time_sec,training_peak_vram_gb,trainable_params,total_params,val_f1_macro,val_f1_micro,total_measured_time_sec
answerdotai/ModernBERT-base,AAPD,full_finetuning,0,3e-05,16,4,/content/drive/MyDrive/thesis_results/AAPD_ModernBERT/search/lr_3e-05_bs_16/checkpoint-13460,0.5922615204899022,4.0,7361.999131079,15.364041322000048,,149646390,149646390,0.5922615204899022,0.7594600575348528,7377.363172401
answerdotai/ModernBERT-base,AAPD,full_finetuning,0,3e-05,8,4,/content/drive/MyDrive/thesis_results/AAPD_ModernBERT/search/lr_3e-05_bs_8/checkpoint-26920,0.5915373617745167,4.0,10402.609206267,16.145223223000357,,149646390,149646390,0.5915373617745167,0.7532751091703057,10418.754429490002
answerdotai/ModernBERT-base,AAPD,full_finetuning,0,2e-05,8,4,/content/drive/MyDrive/thesis_results/AAPD_ModernBERT/search/lr_2e-05_bs_8/checkpoint-26920,0.5838378917174434,4.0,9897.088035614,17.11272327199913,,149646390,149646390,0.5838378917174434,0.751052981600532,9914.200758886
answerdotai/ModernBERT-base,AAPD,full_finetuning,0,2e-05,16,4,/content/drive/MyDrive/thesis_results/AAPD_ModernBERT/search/lr_2e-05_bs_16/checkpoint-10095,0.5763988999003898,4.0,9278.690795484,15.88572139000098,,149646390,149646390,0.5763988999003898,0.748868778280543,9294.576516874
answerdotai/ModernBERT-base,AAPD,full_finetuning,0,1e-05,8,4,/content/drive/MyDrive/thesis_results/AAPD_ModernBERT/search/lr_1e-05_bs_8/checkpoint-26920,0.5709165750986726,4.0,5059.964788852,16.398950951000188,,149646390,149646390,0.5709165750986726,0.7469608284556506,5076.3637398030005
answerdotai/ModernBERT-base,AAPD,full_finetuning,0,1e-05,16,4,/content/drive/MyDrive/thesis_results/AAPD_ModernBERT/search/lr_1e-05_bs_16/checkpoint-13460,0.5480963178052786,4.0,10232.904576081,18.007670820001294,,149646390,149646390,0.5480963178052786,0.7437300501595987,10250.912246901
