model,dataset,method,seed,learning_rate,micro_batch_size,gradient_accumulation_steps,effective_batch_size,num_train_epochs,best_checkpoint,best_metric,actual_epochs_trained,train_time_sec,current_session_train_time_sec,val_eval_time_sec,training_peak_vram_gb,trainable_params,total_params,val_f1_macro,val_f1_micro,total_measured_time_sec
answerdotai/ModernBERT-base,Scot-BESS,houlsby,0,0.0005,4,2,8,4,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_ModernBERT_Houlsby/search/lr_0.0005_efbs_8/checkpoint-672,0.8339916773243182,4.0,1757.3917585229992,1757.3917585229992,13.807586919998357,,7132052,156197012,0.8339916773243182,0.8696527428283845,1771.1993454429976
answerdotai/ModernBERT-base,Scot-BESS,houlsby,0,0.0005,4,4,16,4,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_ModernBERT_Houlsby/search/lr_0.0005_efbs_16/checkpoint-336,0.8070987121790083,4.0,1746.223908,1746.223908,13.713556212000185,,7132052,156197012,0.8070987121790083,0.8524426719840479,1759.9374642120001
answerdotai/ModernBERT-base,Scot-BESS,houlsby,0,0.0002,4,2,8,4,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_ModernBERT_Houlsby/search/lr_0.0002_efbs_8/checkpoint-672,0.7779023364322484,4.0,1727.9439162530007,1727.9439162530007,13.601249621000534,,7132052,156197012,0.7779023364322484,0.8327473631341035,1741.5451658740012
answerdotai/ModernBERT-base,Scot-BESS,houlsby,0,0.0002,4,4,16,4,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_ModernBERT_Houlsby/search/lr_0.0002_efbs_16/checkpoint-336,0.7194246479335289,4.0,1761.6357806489996,1761.6357806489996,13.856880588999957,,7132052,156197012,0.7194246479335289,0.806910569105691,1775.4926612379995
answerdotai/ModernBERT-base,Scot-BESS,houlsby,0,0.0001,4,2,8,4,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_ModernBERT_Houlsby/search/lr_0.0001_efbs_8/checkpoint-672,0.6853251147425662,4.0,1801.547102434,1801.547102434,13.81282992899969,,7132052,156197012,0.6853251147425662,0.7803145611364789,1815.3599323629996
answerdotai/ModernBERT-base,Scot-BESS,houlsby,0,0.0001,4,4,16,4,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_ModernBERT_Houlsby/search/lr_0.0001_efbs_16/checkpoint-336,0.651087247587683,4.0,1727.814146923,1727.814146923,13.583948894999594,,7132052,156197012,0.651087247587683,0.7395301327885597,1741.3980958179995
