model,dataset,method,seed,learning_rate,micro_batch_size,gradient_accumulation_steps,effective_batch_size,num_train_epochs,best_checkpoint,best_metric,actual_epochs_trained,train_time_sec,current_session_train_time_sec,val_eval_time_sec,training_peak_vram_gb,trainable_params,total_params,val_f1_macro,val_f1_micro,total_measured_time_sec
answerdotai/ModernBERT-base,Scot-BESS,full_finetuning,0,3e-05,4,2,8,4,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_ModernBERT/search/lr_3e-05_efbs_8/checkpoint-672,0.7604066201866588,4.0,2002.634052975,2002.634052975,14.169973023001148,,149620244,149620244,0.7604066201866588,0.8251676121712223,2016.8040259980007
answerdotai/ModernBERT-base,Scot-BESS,full_finetuning,0,3e-05,4,4,16,4,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_ModernBERT/search/lr_3e-05_efbs_16/checkpoint-336,0.713779431945003,4.0,1992.160866393,1992.160866393,13.977778697000758,,149620244,149620244,0.713779431945003,0.795687885010267,2006.1386450900009
answerdotai/ModernBERT-base,Scot-BESS,full_finetuning,0,2e-05,4,2,8,4,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_ModernBERT/search/lr_2e-05_efbs_8/checkpoint-672,0.699963320559858,4.0,1996.811970208999,1996.811970208999,13.948862331999408,,149620244,149620244,0.699963320559858,0.7867836861125451,2010.7608325409983
answerdotai/ModernBERT-base,Scot-BESS,full_finetuning,0,2e-05,4,4,16,4,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_ModernBERT/search/lr_2e-05_efbs_16/checkpoint-336,0.6658937005423274,4.0,1982.338231607,1982.338231607,13.872719521999898,,149620244,149620244,0.6658937005423274,0.7593360995850622,1996.210951129
answerdotai/ModernBERT-base,Scot-BESS,full_finetuning,0,1e-05,4,2,8,4,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_ModernBERT/search/lr_1e-05_efbs_8/checkpoint-672,0.6594885276706521,4.0,1989.463630047,1989.463630047,13.727881773000265,,149620244,149620244,0.6594885276706521,0.748696558915537,2003.1915118200004
answerdotai/ModernBERT-base,Scot-BESS,full_finetuning,0,1e-05,4,4,16,4,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_ModernBERT/search/lr_1e-05_efbs_16/checkpoint-336,0.6155670752536595,4.0,2003.531998372,2003.531998372,14.343406934000086,,149620244,149620244,0.6155670752536595,0.7085775173148642,2017.875405306
