model,dataset,method,seed,learning_rate,batch_size,num_train_epochs,best_checkpoint,best_metric,actual_epochs_trained,train_time_sec,val_eval_time_sec,training_peak_vram_gb,trainable_params,total_params,val_f1_macro,val_f1_micro,total_measured_time_sec
distilbert-base-uncased,AAPD,lora,0,0.0005,8,10,/content/drive/MyDrive/thesis_results/AAPD_DistilBERT_LoRa/search/lr_0.0005_bs_8/checkpoint-60570,0.5875519035940706,10.0,9405.291521135,6.734101160996943,,1295670,68290668,0.5875519035940706,0.7446332737030411,9412.025622295996
distilbert-base-uncased,AAPD,lora,0,0.0005,16,10,/content/drive/MyDrive/thesis_results/AAPD_DistilBERT_LoRa/search/lr_0.0005_bs_16/checkpoint-30285,0.5859656254861678,10.0,2653.236094629,6.1323440179999125,,1295670,68290668,0.5859656254861678,0.7461209804362492,2659.368438647
distilbert-base-uncased,AAPD,lora,0,0.0003,8,10,/content/drive/MyDrive/thesis_results/AAPD_DistilBERT_LoRa/search/lr_0.0003_bs_8/checkpoint-60570,0.5845282731186716,10.0,3766.926231651,6.725149822000276,,1295670,68290668,0.5845282731186716,0.7501119570085087,3773.651381473
distilbert-base-uncased,AAPD,lora,0,0.0003,16,10,/content/drive/MyDrive/thesis_results/AAPD_DistilBERT_LoRa/search/lr_0.0003_bs_16/checkpoint-33650,0.5777200776126082,10.0,8913.228931896,6.57556760299849,,1295670,68290668,0.5777200776126082,0.7512415349887133,8919.804499498998
distilbert-base-uncased,AAPD,lora,0,0.0001,8,10,/content/drive/MyDrive/thesis_results/AAPD_DistilBERT_LoRa/search/lr_0.0001_bs_8/checkpoint-60570,0.5513626111978346,10.0,9582.075711786,6.8071812620000856,,1295670,68290668,0.5513626111978346,0.7412169919632606,9588.882893048
distilbert-base-uncased,AAPD,lora,0,0.0001,16,10,/content/drive/MyDrive/thesis_results/AAPD_DistilBERT_LoRa/search/lr_0.0001_bs_16/checkpoint-33650,0.5409653684799071,10.0,9048.437598026,6.754771304000315,,1295670,68290668,0.5409653684799071,0.7390502535730752,9055.19236933
