model,dataset,method,seed,learning_rate,batch_size,num_train_epochs,best_checkpoint,best_metric,actual_epochs_trained,train_time_sec,val_eval_time_sec,training_peak_vram_gb,trainable_params,total_params,val_f1_macro,val_f1_micro,total_measured_time_sec
distilbert-base-uncased,AAPD,houlsby,0,0.0005,16,10,/content/drive/MyDrive/thesis_results/AAPD_DistilBERT_Houlsby/search/lr_0.0005_bs_16/checkpoint-30285,0.600185187027472,10.0,5822.589535414,4.8918439429999125,,2411958,68774838,0.600185187027472,0.755891507336594,5827.481379357
distilbert-base-uncased,AAPD,houlsby,0,0.0005,8,10,/content/drive/MyDrive/thesis_results/AAPD_DistilBERT_Houlsby/search/lr_0.0005_bs_8/checkpoint-60570,0.5984017615126284,10.0,695.112727301,9.339982169999985,,2411958,68774838,0.5984017615126284,0.7568166703613389,704.4527094709999
distilbert-base-uncased,AAPD,houlsby,0,0.0002,8,10,/content/drive/MyDrive/thesis_results/AAPD_DistilBERT_Houlsby/search/lr_0.0002_bs_8/checkpoint-67300,0.5874881353162114,10.0,6072.255970410999,5.069331814000179,,2411958,68774838,0.5874881353162114,0.7573938181009562,6077.325302224999
distilbert-base-uncased,AAPD,houlsby,0,0.0002,16,10,/content/drive/MyDrive/thesis_results/AAPD_DistilBERT_Houlsby/search/lr_0.0002_bs_16/checkpoint-16825,0.5637004788751389,8.0,4715.552699869,4.831505304999155,,2411958,68774838,0.5637004788751389,0.7456080310289755,4720.384205173999
distilbert-base-uncased,AAPD,houlsby,0,0.0001,8,10,/content/drive/MyDrive/thesis_results/AAPD_DistilBERT_Houlsby/search/lr_0.0001_bs_8/checkpoint-60570,0.5547069627421992,10.0,6104.121176623999,5.070287893000568,,2411958,68774838,0.5547069627421992,0.7451069640418753,6109.191464517
distilbert-base-uncased,AAPD,houlsby,0,0.0001,16,10,/content/drive/MyDrive/thesis_results/AAPD_DistilBERT_Houlsby/search/lr_0.0001_bs_16/checkpoint-30285,0.5320143341017464,10.0,5929.544106979999,4.901706431999628,,2411958,68774838,0.5320143341017464,0.7356746765249538,5934.445813411999
