config,model,reasoning_effort,micro_precision,micro_recall,micro_f1,sample_f1,exact_match
mistral_medium_3_5_high,mistral-medium-3-5,high,0.9636363636363636,0.9464285714285714,0.954954954954955,0.9628040689960194,0.7
mistral_large_3,mistral-large-2512,,0.9622641509433962,0.9107142857142857,0.9357798165137615,0.9468659523933358,0.5
mistral_medium_3_5_none,mistral-medium-3-5,none,0.8852459016393442,0.9642857142857143,0.9230769230769231,0.9147635800731775,0.4
