config,micro_precision,micro_recall,micro_f1,sample_f1,exact_match
terra_low,0.9824561403508771,1.0,0.9911504424778761,0.9941176470588236,0.9
terra_none,0.9152542372881356,0.9642857142857143,0.9391304347826087,0.9502894491129785,0.6
luna_none,0.9298245614035088,0.9464285714285714,0.9380530973451328,0.9380993431855501,0.5
