model,dataset,method,seed,learning_rate,batch_size,num_train_epochs,best_checkpoint,best_metric,actual_epochs_trained,train_time_sec,val_eval_time_sec,training_peak_vram_gb,trainable_params,total_params,val_f1_macro,val_f1_micro,total_measured_time_sec
distilbert-base-uncased,Scot-BESS,full_finetuning,0,3e-05,8,10,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_DistilBERT/search/lr_3e-05_bs_8/checkpoint-1344,0.6637555593398006,10.0,269.85427501000004,0.8270040770000833,,66968852,66968852,0.6637555593398006,0.7842731505431971,270.6812790870001
distilbert-base-uncased,Scot-BESS,full_finetuning,0,2e-05,8,10,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_DistilBERT/search/lr_2e-05_bs_8/checkpoint-1344,0.6191913674733742,10.0,280.90765038999984,1.4557960070001172,,66968852,66968852,0.6191913674733742,0.7581073896863371,282.36344639699996
distilbert-base-uncased,Scot-BESS,full_finetuning,0,3e-05,16,10,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_DistilBERT/search/lr_3e-05_bs_16/checkpoint-588,0.6140795037294635,10.0,284.747936922,0.7698512130000381,,66968852,66968852,0.6140795037294635,0.7572815533980582,285.51778813500005
distilbert-base-uncased,Scot-BESS,full_finetuning,0,2e-05,16,10,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_DistilBERT/search/lr_2e-05_bs_16/checkpoint-588,0.5664104132585446,10.0,238.06772764999982,0.8241054350000923,,66968852,66968852,0.5664104132585446,0.7213470939706681,238.89183308499992
distilbert-base-uncased,Scot-BESS,full_finetuning,0,1e-05,8,10,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_DistilBERT/search/lr_1e-05_bs_8/checkpoint-1512,0.5206383119201321,10.0,302.97251571,0.7722798790000525,,66968852,66968852,0.5206383119201321,0.6778097982708934,303.74479558900003
distilbert-base-uncased,Scot-BESS,full_finetuning,0,1e-05,16,10,/content/drive/MyDrive/thesis_results/SCOTBESS_EXPERIMENTS/SCOTBESS_DistilBERT/search/lr_1e-05_bs_16/checkpoint-756,0.48081434547480273,10.0,264.82104688000004,0.7222764409999627,,66968852,66968852,0.48081434547480273,0.6434378629500581,265.543323321
